epoch: 947, step: 70415, train_time: 144.328, valid_time: 12.938, train_weights: 82232.000, train_canonicalBasePairWeights: 9216.000, train_loss: 1.867, train_accuracy: 0.477, train_canonicalBasePairAccuracy: 0.782, train_perplexity: 6.468, train_protein_weights: 66853.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.105, train_protein_accuracy: 0.411, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.209, train_dna_weights: 6278.000, train_dna_canonicalBasePairWeights: 4488.000, train_dna_loss: 0.844, train_dna_accuracy: 0.753, train_dna_canonicalBasePairAccuracy: 0.762, train_dna_perplexity: 2.326, train_rna_weights: 9101.000, train_rna_canonicalBasePairWeights: 4728.000, train_rna_loss: 0.822, train_rna_accuracy: 0.773, train_rna_canonicalBasePairAccuracy: 0.801, train_rna_perplexity: 2.274, valid_weights: 4033.000, valid_canonicalBasePairWeights: 792.000, valid_loss: 1.792, valid_accuracy: 0.471, valid_canonicalBasePairAccuracy: 0.726, valid_perplexity: 6.003, valid_protein_weights: 2840.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.121, valid_protein_accuracy: 0.392, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.341, valid_dna_weights: 494.000, valid_dna_canonicalBasePairWeights: 368.000, valid_dna_loss: 0.957, valid_dna_accuracy: 0.676, valid_dna_canonicalBasePairAccuracy: 0.764, valid_dna_perplexity: 2.605, valid_rna_weights: 699.000, valid_rna_canonicalBasePairWeights: 424.000, valid_rna_loss: 1.046, valid_rna_accuracy: 0.644, valid_rna_canonicalBasePairAccuracy: 0.693, valid_rna_perplexity: 2.845
epoch: 948, step: 70555, train_time: 144.137, valid_time: 13.929, train_weights: 87705.000, train_canonicalBasePairWeights: 8797.000, train_loss: 1.895, train_accuracy: 0.468, train_canonicalBasePairAccuracy: 0.766, train_perplexity: 6.652, train_protein_weights: 73124.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.107, train_protein_accuracy: 0.410, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.225, train_dna_weights: 6234.000, train_dna_canonicalBasePairWeights: 4436.000, train_dna_loss: 0.839, train_dna_accuracy: 0.756, train_dna_canonicalBasePairAccuracy: 0.753, train_dna_perplexity: 2.313, train_rna_weights: 8347.000, train_rna_canonicalBasePairWeights: 4361.000, train_rna_loss: 0.825, train_rna_accuracy: 0.768, train_rna_canonicalBasePairAccuracy: 0.779, train_rna_perplexity: 2.282, valid_weights: 4130.000, valid_canonicalBasePairWeights: 711.000, valid_loss: 1.836, valid_accuracy: 0.468, valid_canonicalBasePairAccuracy: 0.731, valid_perplexity: 6.273, valid_protein_weights: 3027.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.127, valid_protein_accuracy: 0.400, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.389, valid_dna_weights: 406.000, valid_dna_canonicalBasePairWeights: 280.000, valid_dna_loss: 1.049, valid_dna_accuracy: 0.650, valid_dna_canonicalBasePairAccuracy: 0.754, valid_dna_perplexity: 2.855, valid_rna_weights: 697.000, valid_rna_canonicalBasePairWeights: 431.000, valid_rna_loss: 1.033, valid_rna_accuracy: 0.653, valid_rna_canonicalBasePairAccuracy: 0.717, valid_rna_perplexity: 2.808
epoch: 949, step: 70697, train_time: 132.648, valid_time: 11.292, train_weights: 90940.000, train_canonicalBasePairWeights: 9700.000, train_loss: 1.882, train_accuracy: 0.471, train_canonicalBasePairAccuracy: 0.732, train_perplexity: 6.569, train_protein_weights: 73604.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.119, train_protein_accuracy: 0.408, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.321, train_dna_weights: 6167.000, train_dna_canonicalBasePairWeights: 4323.000, train_dna_loss: 0.852, train_dna_accuracy: 0.741, train_dna_canonicalBasePairAccuracy: 0.697, train_dna_perplexity: 2.344, train_rna_weights: 11169.000, train_rna_canonicalBasePairWeights: 5377.000, train_rna_loss: 0.893, train_rna_accuracy: 0.737, train_rna_canonicalBasePairAccuracy: 0.760, train_rna_perplexity: 2.442, valid_weights: 4107.000, valid_canonicalBasePairWeights: 743.000, valid_loss: 1.813, valid_accuracy: 0.481, valid_canonicalBasePairAccuracy: 0.779, valid_perplexity: 6.129, valid_protein_weights: 3046.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.109, valid_protein_accuracy: 0.408, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.241, valid_dna_weights: 482.000, valid_dna_canonicalBasePairWeights: 385.000, valid_dna_loss: 0.898, valid_dna_accuracy: 0.703, valid_dna_canonicalBasePairAccuracy: 0.800, valid_dna_perplexity: 2.454, valid_rna_weights: 579.000, valid_rna_canonicalBasePairWeights: 358.000, valid_rna_loss: 1.018, valid_rna_accuracy: 0.679, valid_rna_canonicalBasePairAccuracy: 0.757, valid_rna_perplexity: 2.767
epoch: 950, step: 70829, train_time: 135.635, valid_time: 11.880, train_weights: 92813.000, train_canonicalBasePairWeights: 7992.000, train_loss: 1.903, train_accuracy: 0.467, train_canonicalBasePairAccuracy: 0.765, train_perplexity: 6.708, train_protein_weights: 79301.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.083, train_protein_accuracy: 0.418, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.027, train_dna_weights: 5728.000, train_dna_canonicalBasePairWeights: 3922.000, train_dna_loss: 0.838, train_dna_accuracy: 0.756, train_dna_canonicalBasePairAccuracy: 0.739, train_dna_perplexity: 2.312, train_rna_weights: 7784.000, train_rna_canonicalBasePairWeights: 4070.000, train_rna_loss: 0.858, train_rna_accuracy: 0.752, train_rna_canonicalBasePairAccuracy: 0.790, train_rna_perplexity: 2.359, valid_weights: 3048.000, valid_canonicalBasePairWeights: 466.000, valid_loss: 1.733, valid_accuracy: 0.504, valid_canonicalBasePairAccuracy: 0.687, valid_perplexity: 5.658, valid_protein_weights: 2154.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.049, valid_protein_accuracy: 0.423, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 7.757, valid_dna_weights: 281.000, valid_dna_canonicalBasePairWeights: 150.000, valid_dna_loss: 0.806, valid_dna_accuracy: 0.765, valid_dna_canonicalBasePairAccuracy: 0.760, valid_dna_perplexity: 2.238, valid_rna_weights: 613.000, valid_rna_canonicalBasePairWeights: 316.000, valid_rna_loss: 1.049, valid_rna_accuracy: 0.669, valid_rna_canonicalBasePairAccuracy: 0.652, valid_rna_perplexity: 2.856
epoch: 951, step: 70963, train_time: 147.732, valid_time: 11.960, train_weights: 86966.000, train_canonicalBasePairWeights: 10011.000, train_loss: 1.838, train_accuracy: 0.483, train_canonicalBasePairAccuracy: 0.745, train_perplexity: 6.282, train_protein_weights: 69034.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.095, train_protein_accuracy: 0.413, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.122, train_dna_weights: 6441.000, train_dna_canonicalBasePairWeights: 4628.000, train_dna_loss: 0.848, train_dna_accuracy: 0.744, train_dna_canonicalBasePairAccuracy: 0.711, train_dna_perplexity: 2.335, train_rna_weights: 11491.000, train_rna_canonicalBasePairWeights: 5383.000, train_rna_loss: 0.848, train_rna_accuracy: 0.759, train_rna_canonicalBasePairAccuracy: 0.774, train_rna_perplexity: 2.336, valid_weights: 4567.000, valid_canonicalBasePairWeights: 880.000, valid_loss: 1.811, valid_accuracy: 0.484, valid_canonicalBasePairAccuracy: 0.743, valid_perplexity: 6.115, valid_protein_weights: 3240.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.138, valid_protein_accuracy: 0.415, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.480, valid_dna_weights: 529.000, valid_dna_canonicalBasePairWeights: 379.000, valid_dna_loss: 0.971, valid_dna_accuracy: 0.671, valid_dna_canonicalBasePairAccuracy: 0.731, valid_dna_perplexity: 2.641, valid_rna_weights: 798.000, valid_rna_canonicalBasePairWeights: 501.000, valid_rna_loss: 1.040, valid_rna_accuracy: 0.640, valid_rna_canonicalBasePairAccuracy: 0.752, valid_rna_perplexity: 2.829
epoch: 952, step: 71110, train_time: 152.739, valid_time: 14.784, train_weights: 89589.000, train_canonicalBasePairWeights: 9342.000, train_loss: 1.907, train_accuracy: 0.461, train_canonicalBasePairAccuracy: 0.724, train_perplexity: 6.730, train_protein_weights: 73770.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.129, train_protein_accuracy: 0.401, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.408, train_dna_weights: 6482.000, train_dna_canonicalBasePairWeights: 4716.000, train_dna_loss: 0.859, train_dna_accuracy: 0.738, train_dna_canonicalBasePairAccuracy: 0.698, train_dna_perplexity: 2.361, train_rna_weights: 9337.000, train_rna_canonicalBasePairWeights: 4626.000, train_rna_loss: 0.875, train_rna_accuracy: 0.746, train_rna_canonicalBasePairAccuracy: 0.751, train_rna_perplexity: 2.399, valid_weights: 4741.000, valid_canonicalBasePairWeights: 898.000, valid_loss: 1.783, valid_accuracy: 0.487, valid_canonicalBasePairAccuracy: 0.731, valid_perplexity: 5.949, valid_protein_weights: 3406.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.110, valid_protein_accuracy: 0.403, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.251, valid_dna_weights: 605.000, valid_dna_canonicalBasePairWeights: 483.000, valid_dna_loss: 0.886, valid_dna_accuracy: 0.731, valid_dna_canonicalBasePairAccuracy: 0.727, valid_dna_perplexity: 2.426, valid_rna_weights: 730.000, valid_rna_canonicalBasePairWeights: 415.000, valid_rna_loss: 1.001, valid_rna_accuracy: 0.679, valid_rna_canonicalBasePairAccuracy: 0.735, valid_rna_perplexity: 2.721
epoch: 953, step: 71180, train_time: 79.384, valid_time: 9.885, train_weights: 89778.000, train_canonicalBasePairWeights: 8682.000, train_loss: 1.894, train_accuracy: 0.470, train_canonicalBasePairAccuracy: 0.760, train_perplexity: 6.644, train_protein_weights: 74758.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.107, train_protein_accuracy: 0.412, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.222, train_dna_weights: 5512.000, train_dna_canonicalBasePairWeights: 3858.000, train_dna_loss: 0.826, train_dna_accuracy: 0.755, train_dna_canonicalBasePairAccuracy: 0.723, train_dna_perplexity: 2.283, train_rna_weights: 9508.000, train_rna_canonicalBasePairWeights: 4824.000, train_rna_loss: 0.837, train_rna_accuracy: 0.763, train_rna_canonicalBasePairAccuracy: 0.790, train_rna_perplexity: 2.309, valid_weights: 4499.000, valid_canonicalBasePairWeights: 795.000, valid_loss: 1.836, valid_accuracy: 0.461, valid_canonicalBasePairAccuracy: 0.762, valid_perplexity: 6.272, valid_protein_weights: 3231.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.136, valid_protein_accuracy: 0.395, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.464, valid_dna_weights: 432.000, valid_dna_canonicalBasePairWeights: 282.000, valid_dna_loss: 0.894, valid_dna_accuracy: 0.704, valid_dna_canonicalBasePairAccuracy: 0.812, valid_dna_perplexity: 2.445, valid_rna_weights: 836.000, valid_rna_canonicalBasePairWeights: 513.000, valid_rna_loss: 1.165, valid_rna_accuracy: 0.592, valid_rna_canonicalBasePairAccuracy: 0.735, valid_rna_perplexity: 3.206
epoch: 954, step: 71251, train_time: 90.071, valid_time: 6.908, train_weights: 89647.000, train_canonicalBasePairWeights: 8865.000, train_loss: 1.870, train_accuracy: 0.479, train_canonicalBasePairAccuracy: 0.776, train_perplexity: 6.488, train_protein_weights: 74767.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.075, train_protein_accuracy: 0.422, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 7.966, train_dna_weights: 6094.000, train_dna_canonicalBasePairWeights: 4346.000, train_dna_loss: 0.857, train_dna_accuracy: 0.744, train_dna_canonicalBasePairAccuracy: 0.756, train_dna_perplexity: 2.355, train_rna_weights: 8786.000, train_rna_canonicalBasePairWeights: 4519.000, train_rna_loss: 0.826, train_rna_accuracy: 0.776, train_rna_canonicalBasePairAccuracy: 0.794, train_rna_perplexity: 2.285, valid_weights: 5148.000, valid_canonicalBasePairWeights: 414.000, valid_loss: 1.998, valid_accuracy: 0.430, valid_canonicalBasePairAccuracy: 0.722, valid_perplexity: 7.378, valid_protein_weights: 4486.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.140, valid_protein_accuracy: 0.397, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.497, valid_dna_weights: 250.000, valid_dna_canonicalBasePairWeights: 164.000, valid_dna_loss: 1.038, valid_dna_accuracy: 0.652, valid_dna_canonicalBasePairAccuracy: 0.707, valid_dna_perplexity: 2.824, valid_rna_weights: 412.000, valid_rna_canonicalBasePairWeights: 250.000, valid_rna_loss: 1.044, valid_rna_accuracy: 0.655, valid_rna_canonicalBasePairAccuracy: 0.732, valid_rna_perplexity: 2.841
epoch: 955, step: 71317, train_time: 103.067, valid_time: 16.658, train_weights: 86447.000, train_canonicalBasePairWeights: 8787.000, train_loss: 1.869, train_accuracy: 0.479, train_canonicalBasePairAccuracy: 0.775, train_perplexity: 6.481, train_protein_weights: 71819.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.079, train_protein_accuracy: 0.420, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 7.997, train_dna_weights: 5824.000, train_dna_canonicalBasePairWeights: 4060.000, train_dna_loss: 0.826, train_dna_accuracy: 0.769, train_dna_canonicalBasePairAccuracy: 0.751, train_dna_perplexity: 2.285, train_rna_weights: 8804.000, train_rna_canonicalBasePairWeights: 4727.000, train_rna_loss: 0.844, train_rna_accuracy: 0.768, train_rna_canonicalBasePairAccuracy: 0.797, train_rna_perplexity: 2.325, valid_weights: 3835.000, valid_canonicalBasePairWeights: 556.000, valid_loss: 1.805, valid_accuracy: 0.476, valid_canonicalBasePairAccuracy: 0.736, valid_perplexity: 6.083, valid_protein_weights: 2783.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.066, valid_protein_accuracy: 0.429, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 7.893, valid_dna_weights: 404.000, valid_dna_canonicalBasePairWeights: 227.000, valid_dna_loss: 0.876, valid_dna_accuracy: 0.733, valid_dna_canonicalBasePairAccuracy: 0.718, valid_dna_perplexity: 2.402, valid_rna_weights: 648.000, valid_rna_canonicalBasePairWeights: 329.000, valid_rna_loss: 1.266, valid_rna_accuracy: 0.520, valid_rna_canonicalBasePairAccuracy: 0.748, valid_rna_perplexity: 3.547
epoch: 956, step: 71384, train_time: 96.460, valid_time: 14.415, train_weights: 87420.000, train_canonicalBasePairWeights: 9306.000, train_loss: 1.852, train_accuracy: 0.481, train_canonicalBasePairAccuracy: 0.766, train_perplexity: 6.372, train_protein_weights: 70316.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.094, train_protein_accuracy: 0.415, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.117, train_dna_weights: 5568.000, train_dna_canonicalBasePairWeights: 3804.000, train_dna_loss: 0.818, train_dna_accuracy: 0.763, train_dna_canonicalBasePairAccuracy: 0.741, train_dna_perplexity: 2.266, train_rna_weights: 11536.000, train_rna_canonicalBasePairWeights: 5502.000, train_rna_loss: 0.875, train_rna_accuracy: 0.745, train_rna_canonicalBasePairAccuracy: 0.783, train_rna_perplexity: 2.399, valid_weights: 5221.000, valid_canonicalBasePairWeights: 956.000, valid_loss: 1.824, valid_accuracy: 0.470, valid_canonicalBasePairAccuracy: 0.793, valid_perplexity: 6.194, valid_protein_weights: 3786.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.123, valid_protein_accuracy: 0.405, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.354, valid_dna_weights: 702.000, valid_dna_canonicalBasePairWeights: 508.000, valid_dna_loss: 1.006, valid_dna_accuracy: 0.654, valid_dna_canonicalBasePairAccuracy: 0.833, valid_dna_perplexity: 2.736, valid_rna_weights: 733.000, valid_rna_canonicalBasePairWeights: 448.000, valid_rna_loss: 1.061, valid_rna_accuracy: 0.626, valid_rna_canonicalBasePairAccuracy: 0.748, valid_rna_perplexity: 2.889
epoch: 957, step: 71457, train_time: 95.543, valid_time: 15.169, train_weights: 84779.000, train_canonicalBasePairWeights: 9136.000, train_loss: 1.869, train_accuracy: 0.475, train_canonicalBasePairAccuracy: 0.743, train_perplexity: 6.481, train_protein_weights: 68804.000, train_protein_canonicalBasePairWeights: 0.000, train_protein_loss: 2.105, train_protein_accuracy: 0.411, train_protein_canonicalBasePairAccuracy: nan, train_protein_perplexity: 8.204, train_dna_weights: 6226.000, train_dna_canonicalBasePairWeights: 4328.000, train_dna_loss: 0.815, train_dna_accuracy: 0.769, train_dna_canonicalBasePairAccuracy: 0.715, train_dna_perplexity: 2.259, train_rna_weights: 9749.000, train_rna_canonicalBasePairWeights: 4808.000, train_rna_loss: 0.879, train_rna_accuracy: 0.740, train_rna_canonicalBasePairAccuracy: 0.768, train_rna_perplexity: 2.409, valid_weights: 4929.000, valid_canonicalBasePairWeights: 844.000, valid_loss: 1.822, valid_accuracy: 0.476, valid_canonicalBasePairAccuracy: 0.757, valid_perplexity: 6.182, valid_protein_weights: 3699.000, valid_protein_canonicalBasePairWeights: 0.000, valid_protein_loss: 2.093, valid_protein_accuracy: 0.418, valid_protein_canonicalBasePairAccuracy: nan, valid_protein_perplexity: 8.105, valid_dna_weights: 574.000, valid_dna_canonicalBasePairWeights: 438.000, valid_dna_loss: 1.022, valid_dna_accuracy: 0.627, valid_dna_canonicalBasePairAccuracy: 0.774, valid_dna_perplexity: 2.780, valid_rna_weights: 656.000, valid_rna_canonicalBasePairWeights: 406.000, valid_rna_loss: 0.993, valid_rna_accuracy: 0.668, valid_rna_canonicalBasePairAccuracy: 0.739, valid_rna_perplexity: 2.700
