dt,context,structure,sample,recovery
0.05,rna_only,1aju,1aju_1,0.4138
0.05,rna_only,1aju,1aju_2,0.4138
0.05,rna_only,1aju,1aju_3,0.4828
0.05,rna_only,1aju,1aju_4,0.4138
0.05,rna_only,1akx,1akx_1,0.4828
0.05,rna_only,1akx,1akx_2,0.5517
0.05,rna_only,1akx,1akx_3,0.5172
0.05,rna_only,1akx,1akx_4,0.5517
0.05,rna_only,1anr,1anr_1,0.4643
0.05,rna_only,1anr,1anr_2,0.3929
0.05,rna_only,1anr,1anr_3,0.4286
0.05,rna_only,1anr,1anr_4,0.5
0.05,rna_only,1arj,1arj_1,0.2143
0.05,rna_only,1e4p,1e4p_1,0.8261
0.05,rna_only,1f6x,1f6x_1,0.2692
0.05,rna_only,1f6z,1f6z_1,0.3462
0.05,rna_only,1f78,1f78_1,0.3846
0.05,rna_only,1f79,1f79_1,0.5385
0.05,rna_only,1f7f,1f7f_1,0.3846
0.05,rna_only,1f7g,1f7g_1,0.4615
0.05,rna_only,1f7h,1f7h_1,0.3846
0.05,rna_only,1f7i,1f7i_1,0.4615
0.05,rna_only,1fuf,1fuf_1,0.625
0.05,rna_only,1i9x,1i9x_1,0.375
0.05,rna_only,1ie1,1ie1_1,0.5714
0.05,rna_only,1ie2,1ie2_1,0.5714
0.05,rna_only,1ik5,1ik5_1,0.4167
